LAL,LAL vs. PHI,01/15/2023,L,240,112,48,87,55.2,6,20,30.0,10,13,76.9,4,34,38,28,4,6,11,19,-1
BKN,BKN vs. OKC,01/15/2023,L,240,102,39,91,42.9,12,41,29.3,12,19,63.2,14,37,51,24,4,7,16,21,-10
OKC,OKC @ BKN,01/15/2023,W,240,112,40,90,44.4,12,31,38.7,20,26,76.9,11,39,50,21,5,7,9,14,10
DEN,DEN vs. ORL,01/15/2023,W,240,119,48,89,53.9,13,39,33.3,10,19,52.6,12,29,41,32,10,5,16,22,3
HOU,HOU @ LAC,01/15/2023,L,240,100,38,84,45.2,7,31,22.6,17,23,73.9,10,29,39,22,8,6,20,17,-21
LAC,LAC vs. HOU,01/15/2023,W,240,121,46,88,52.3,14,32,43.8,15,21,71.4,11,33,44,21,13,6,17,16,21
POR,POR vs. DAL,01/15/2023,W,240,140,43,85,50.6,17,44,38.6,37,42,88.1,8,33,41,28,3,6,8,29,17
DAL,DAL @ POR,01/15/2023,L,240,123,41,89,46.1,14,42,33.3,27,33,81.8,13,26,39,31,3,2,9,29,-17
CHI,CHI vs. GSW,01/15/2023,W,240,132,48,95,50.5,15,39,38.5,21,24,87.5,7,31,38,29,12,1,10,18,14
GSW,GSW @ CHI,01/15/2023,L,240,118,41,83,49.4,21,51,41.2,15,22,68.2,7,33,40,35,6,4,23,22,-14
ORL,ORL @ DEN,01/15/2023,L,240,116,41,84,48.8,7,29,24.1,27,34,79.4,10,29,39,24,7,2,13,17,-3
TOR,TOR vs. ATL,01/14/2023,L,240,103,36,87,41.4,7,29,24.1,24,30,80.0,11,32,43,19,9,3,14,19,-11
CLE,CLE @ MIN,01/14/2023,L,240,102,37,76,48.7,8,28,28.6,20,23,87.0,8,32,40,24,5,2,18,17,-8
MIL,MIL @ MIA,01/14/2023,L,240,95,34,84,40.5,19,48,39.6,8,12,66.7,7,25,32,26,7,2,10,13,-16
